iter	Passed	Remaining
170	2100	10182
171	2112	10171
172	2122	10145
173	2133	10126
174	2144	10108
175	2153	10083
176	2163	10061
177	2174	10039
178	2185	10023
179	2195	10002
180	2207	9989
181	2218	9971
182	2230	9956
183	2240	9936
184	2253	9929
185	2266	9920
186	2280	9916
187	2296	9918
188	2311	9917
189	2324	9910
190	2338	9906
191	2354	9908
192	2369	9908
193	2385	9910
194	2401	9911
195	2415	9910
196	2428	9898
197	2446	9908
198	2461	9907
199	2476	9906
200	2491	9903
201	2504	9892
202	2520	9897
203	2538	9903
204	2556	9912
205	2578	9939
206	2598	9953
207	2615	9957
208	2631	9959
209	2649	9968
210	2666	9971
211	2683	9976
212	2700	9976
213	2717	9982
214	2734	9983
215	2749	9980
216	2768	9988
217	2783	9984
218	2798	9981
219	2818	9993
220	2832	9984
221	2849	9984
222	2864	9981
223	2880	9979
224	2896	9976
225	2910	9966
226	2927	9967
227	2944	9970
228	2958	9959
229	2975	9960
230	2990	9954
231	3001	9935
232	3013	9921
233	3025	9904
234	3036	9884
235	3047	9865
236	3058	9847
237	3070	9829
238	3081	9810
239	3093	9794
240	3103	9772
241	3111	9745
242	3122	9727
243	3133	9709
244	3147	9698
245	3159	9682
246	3171	9667
247	3182	9649
248	3194	9635
249	3204	9612
250	3215	9596
251	3229	9586
252	3243	9575
253	3254	9557
254	3266	9542
255	3278	9527
256	3289	9509
257	3300	9492
258	3312	9476
259	3322	9457
260	3334	9442
261	3345	9422
262	3357	9408
263	3367	9389
264	3378	9371
265	3388	9349
266	3399	9332
267	3410	9315
268	3423	9302
269	3435	9289
270	3446	9270
271	3457	9254
272	3468	9237
273	3480	9220
274	3491	9206
275	3501	9185
276	3513	9170
277	3524	9154
278	3535	9136
279	3547	9122
280	3558	9105
281	3569	9088
282	3580	9072
283	3591	9054
284	3602	9038
285	3612	9019
286	3625	9006
287	3636	8991
288	3647	8974
289	3660	8961
290	3673	8949
291	3684	8932
292	3696	8919
293	3706	8901
294	3716	8882
295	3728	8866
296	3738	8848
297	3750	8836
298	3763	8822
299	3773	8804
300	3787	8794
301	3798	8778
302	3809	8762
303	3819	8744
304	3831	8730
305	3842	8713
306	3852	8697
307	3865	8684
308	3875	8667
309	3886	8651
310	3895	8631
311	3907	8616
312	3918	8600
313	3930	8587
314	3941	8570
315	3951	8553
316	3964	8540
317	3974	8524
318	3986	8511
319	4000	8500
320	4015	8494
321	4030	8487
322	4044	8477
323	4056	8464
324	4070	8454
325	4084	8444
326	4096	8431
327	4110	8421
328	4123	8410
329	4138	8402
330	4152	8393
331	4168	8386
332	4182	8377
333	4196	8367
334	4209	8355
335	4223	8346
336	4236	8335
337	4251	8326
338	4265	8317
339	4279	8307
340	4294	8298
341	4308	8289
342	4322	8279
343	4337	8272
344	4352	8264
345	4365	8251
346	4379	8241
347	4394	8233
348	4409	8225
349	4425	8219
350	4439	8209
351	4453	8199
352	4468	8190
353	4482	8180
354	4496	8170
355	4511	8161
356	4524	8148
357	4540	8142
358	4554	8131
359	4569	8124
360	4585	8116
361	4600	8108
362	4610	8091
363	4621	8075
364	4632	8058
365	4641	8039
366	4653	8025
367	4663	8008
368	4673	7992
369	4686	7979
370	4695	7961
371	4709	7951
372	4719	7932
373	4732	7920
374	4748	7914
375	4763	7905
376	4780	7899
377	4794	7890
378	4811	7882
379	4824	7872
380	4842	7867
381	4857	7857
382	4868	7842
383	4879	7827
384	4891	7813
385	4902	7797
386	4913	7782
387	4925	7769
388	4936	7753
389	4946	7736
390	4956	7719
391	4967	7704
392	4976	7687
393	4987	7670
394	4997	7654
395	5009	7640
396	5020	7625
397	5031	7609
398	5041	7594
399	5051	7577
400	5061	7560
401	5073	7547
402	5084	7531
403	5096	7518
404	5106	7502
405	5117	7487
406	5128	7472
407	5140	7459
408	5153	7446
409	5164	7431
410	5174	7415
411	5185	7401
